group,groupname,abb,team,value,
4,Turnovers,UTH,Utah Jazz,21,
4,Turnovers,PHI,Philadelphia 76ers,29,
4,Turnovers,LAL,Los Angeles Lakers,11,
5,Steals,GSW,Golden State Warriors*,22,
5,Steals,OKC,Oklahoma City Thunder*,10,
5,Steals,SAC,Sacramento Kings,26,
5,Steals,HOU,Houston Rockets*,30,
5,Steals,BOS,Boston Celtics*,29,
5,Steals,POR,Portland Trail Blazers*,6,
5,Steals,LAC,Los Angeles Clippers*,24,
5,Steals,CLE,Cleveland Cavaliers*,3,
5,Steals,WSH,Washington Wizards,23,
5,Steals,SAS,San Antonio Spurs*,20,
5,Steals,CHA,Charlotte Hornets*,9,
5,Steals,ATL,Atlanta Hawks*,28,
5,Steals,NOP,New Orleans Pelicans,15,
5,Steals,TOR,Toronto Raptors*,16,
5,Steals,MIN,Minnesota Timberwolves,17,
5,Steals,DAL,Dallas Mavericks*,5,
5,Steals,IND,Indiana Pacers*,27,
5,Steals,ORL,Orlando Magic,19,
5,Steals,DET,Detroit Pistons*,7,
5,Steals,DEN,Denver Nuggets,11,
5,Steals,CHI,Chicago Bulls,2,
5,Steals,PHX,Phoenix Suns,14,
5,Steals,MIA,Miami Heat*,4,
5,Steals,MEM,Memphis Grizzlies*,25,
5,Steals,MIL,Milwaukee Bucks,18,
5,Steals,BKN,Brooklyn Nets,12,
5,Steals,NYK,New York Knicks,1,
5,Steals,UTH,Utah Jazz,13,
5,Steals,PHI,Philadelphia 76ers,21,
5,Steals,LAL,Los Angeles Lakers,8,
6,Blocks,GSW,Golden State Warriors*,29,
6,Blocks,OKC,Oklahoma City Thunder*,26,
6,Blocks,SAC,Sacramento Kings,11,
6,Blocks,HOU,Houston Rockets*,18,
6,Blocks,BOS,Boston Celtics*,9,
6,Blocks,POR,Portland Trail Blazers*,13,
6,Blocks,LAC,Los Angeles Clippers*,21,
6,Blocks,CLE,Cleveland Cavaliers*,4,
6,Blocks,WSH,Washington Wizards,5,
6,Blocks,SAS,San Antonio Spurs*,25,
6,Blocks,CHA,Charlotte Hornets*,19,
6,Blocks,ATL,Atlanta Hawks*,27,
6,Blocks,NOP,New Orleans Pelicans,8,
6,Blocks,TOR,Toronto Raptors*,20,
6,Blocks,MIN,Minnesota Timberwolves,12,
6,Blocks,DAL,Dallas Mavericks*,2,
6,Blocks,IND,Indiana Pacers*,14,
6,Blocks,ORL,Orlando Magic,16,
6,Blocks,DET,Detroit Pistons*,1,
6,Blocks,DEN,Denver Nuggets,15,
6,Blocks,CHI,Chicago Bulls,23,
6,Blocks,PHX,Phoenix Suns,3,
6,Blocks,MIA,Miami Heat*,30,
6,Blocks,MEM,Memphis Grizzlies*,10,
6,Blocks,MIL,Milwaukee Bucks,24,
6,Blocks,BKN,Brooklyn Nets,6,
6,Blocks,NYK,New York Knicks,22,
6,Blocks,UTH,Utah Jazz,17,
6,Blocks,PHI,Philadelphia 76ers,28,
6,Blocks,LAL,Los Angeles Lakers,7,
